# this is our data file
#
# there are 6 columns and 1000 rows
#
# maybe the variables are
# A B C D E F
0.23373 -0.14105 0.27657 2.318 3.4236 0.66611 # comment at the end
0.40958 -0.39691 0.57666 2.9894 4.6658 0.20288
0.22698 1.9912 0.63523 3.2008 1.7496 0.5884
0.24734 3.0109 0.75156 3.0518 3.8861 0.63397
0.53417 0.90611 0.53566 2.4617 2.867 0.60867
0.29285 1.572 0.17918 3.1536 5.1163 0.98826
0.48587 -1.5772 0.19164 2.0396 6.2043 0.55387
0.57735 -0.69238 0.9142 2.6911 1.6074 0.51462
0.66463 -0.87386 0.025814 3.0737 5.1955 0.25515
0.58178 1.3052 0.17293 2.4601 3.0741 0.84934
0.39831 3.995 0.76603 3.3878 3.7803 0.72444
0.50128 0.063842 0.49952 2.129 3.8228 0.0039704
0.82194 0.097467 0.050585 2.5364 3.5918 0.45698
0.47055 -0.42375 0.22069 2.4667 4.1938 0.23576
0.13663 3.405 0.31995 1.9451 6.2209 0.48447
0.87493 -0.72327 0.50146 2.4985 3.0309 0.514
0.85277 1.7551 0.88564 2.5182 4.9447 0.2585
0.29326 0.89862 0.77415 3.0382 3.7342 0.41486
0.74904 -0.33541 0.78656 3.2832 3.4842 0.57126
0.48646 0.15265 0.67466 3.375 5.5604 0.67492
0.69837 1.9927 0.65213 3.2255 3.271 0.42101
0.68848 7.6049 0.95552 3.0438 5.5532 0.65944
0.07993 -0.24858 0.30942 3.1241 5.4679 0.40265
0.58828 -0.61693 0.20479 2.8567 4.3417 0.44307
0.2526 2.4063 0.21372 2.9213 2.7241 0.08948
0.55209 2.1952 0.93066 2.4578 3.5746 0.98169
0.34479 3.4096 0.10424 2.4649 5.1371 0.12883
-0.059487 4.2014 0.32902 2.9789 5.1547 0.4858
0.95558 1.3099 0.62031 1.9989 3.9769 0.74929
0.23114 1.0294 0.47187 2.3778 3.7086 0.4804
0.71252 1.5941 0.71216 2.6547 4.0308 0.39628
0.76609 0.95624 0.60051 2.406 2.0841 0.20949
0.68256 2.6542 0.29127 2.3508 2.376 0.42245
0.43243 1.8589 0.90943 2.5815 3.5611 0.58904
0.055159 2.0572 0.50167 2.2952 5.9253 0.54777
0.48709 5.1501 0.8282 2.3536 3.0869 0.45682
0.39808 5.5831 0.84703 2.7692 2.3402 0.29091
0.68566 1.393 0.45916 3.2641 3.6598 0.30341
0.25564 1.3571 0.89404 2.9004 5.105 0.065119
0.55061 -2.3289 0.43494 2.2011 3.7546 0.24751
0.76844 1.8141 0.65948 3.4037 4.4095 0.89587
0.25048 2.5711 0.79313 3.0786 3.5727 0.41781
0.91303 1.1718 0.70197 2.019 5.0317 0.78137
0.36172 0.53941 0.15638 2.4818 2.3656 0.19305
0.9275 -1.8962 0.094281 3.1366 3.6124 0.49508
0.76263 1.2591 0.70753 3.2461 5.1079 0.54829
0.72883 0.3241 0.76524 2.1952 5.926 0.85078
1.1315 2.4521 0.57078 1.9933 1.8983 0.90714
0.40845 -3.5427 0.76625 2.3756 4.2698 0.19113
0.81656 0.76074 0.521 3.2388 2.3172 0.58139
0.016152 -1.0682 0.2673 3.0975 5.552 0.40814
-0.040978 -2.3286 0.76289 2.8432 3.5279 0.21646
0.41528 2.2845 0.031057 2.4949 1.8827 0.32135
0.29901 -0.69493 0.46322 3.3453 1.6279 0.3856
0.30714 0.4416 0.84452 2.2036 4.4274 0.93711
0.26961 -1.7309 0.2892 2.5784 4.9835 0.14097
0.77077 -1.0299 0.65393 2.8856 4.7432 0.38922
0.14931 0.94733 0.45978 3.053 4.7151 0.94981
0.11079 1.9536 0.031181 2.7348 2.5453 0.287
0.032338 -0.58155 0.29306 2.61 6.2749 0.40358
0.87143 -1.3279 0.63223 2.7947 5.1772 0.32313
0.22699 4.5041 0.83144 2.7077 1.6567 0.67559
0.57698 -2.9157 0.51273 2.4995 2.0093 0.6885
0.73026 3.8764 0.20304 2.9464 5.4056 0.45461
0.24122 0.032652 0.0058705 2.8704 5.7573 0.75927
0.75645 5.1549 0.39366 2.9189 1.5796 0.60145
0.43491 1.4356 0.69422 2.1545 4.0743 0.34145
0.34417 -0.53387 0.7621 3.3088 4.243 0.38031
-0.0012596 -0.80844 0.63586 3.1351 4.2872 0.35115
0.6832 -2.2987 0.88309 3.0003 2.2411 0.37898
0.7295 0.55792 0.81399 2.4723 3.4439 0.75657
0.68612 1.4704 0.8285 1.9897 1.6447 0.30092
0.47543 0.7359 0.51055 2.2665 6.0521 0.84446
0.65236 1.8723 0.56442 2.456 2.5552 0.53579
1.1728 4.7057 0.6689 2.5962 1.7077 0.52792
0.33592 0.929 0.10576 3.4484 5.8068 0.22971
0.52047 3.813 0.43613 2.1615 3.0108 0.41721
0.3374 -0.53519 0.46133 2.7961 1.9546 0.44214
0.44145 3.032 0.27406 3.167 4.4188 0.50114
0.40071 1.09 0.48872 2.4599 4.8507 0.41814
0.54698 0.7602 0.03983 2.0788 5.5238 0.43911
0.065873 2.2505 0.40869 3.0977 1.977 0.3019
0.51553 2.0094 0.77466 2.5042 4.9023 0.5401
0.09629 1.8689 0.96588 3.2596 5.7815 0.97722
0.71832 -1.7503 0.20771 2.5287 5.7585 0.08359
0.16439 1.0284 0.030969 3.3028 5.3373 0.47198
0.27476 -1.9879 0.0161 2.8501 4.7688 0.36912
0.62283 2.899 0.21405 2.4684 5.1907 0.05907
0.58015 -0.68975 0.92855 3.0828 4.619 0.053615
0.72857 0.013764 0.67664 2.329 3.1746 0.11326
0.32725 3.486 0.6867 2.8792 3.8836 0.10124
0.70217 3.0362 0.78267 3.4579 2.5801 0.99159
0.32157 3.423 0.47103 3.1935 4.5112 0.87868
0.22669 1.8858 0.87776 2.9368 1.8401 0.99977
0.4286 -0.78191 0.60455 2.4397 4.2291 0.56992
0.47237 1.079 0.25362 2.0425 2.6654 0.56037
0.52319 0.18176 0.78167 2.7015 3.4757 0.41618
0.65562 -1.5824 0.15109 2.149 4.314 0.68696
0.3217 1.3691 0.49927 2.5087 4.176 0.80498
0.58381 3.4813 0.44108 3.057 1.8498 0.97373
0.63145 4.7377 0.84838 2.9396 5.687 0.83691
0.15845 -2.4519 0.42438 2.5166 3.0834 0.56049
0.31916 3.6513 0.3699 2.0967 4.5899 0.94878
0.4544 4.3218 0.1178 3.1042 1.9882 0.26997
-0.043485 -2.025 0.25911 2.1291 3.6007 0.50298
0.061232 -2.8965 0.81602 2.3934 3.2058 0.43254
0.29973 2.4924 0.34531 2.2525 2.3049 0.42205
0.54928 2.577 0.15351 2.3585 2.4602 0.46463
0.52723 0.52385 0.89199 3.3058 4.7533 0.68269
0.36791 3.3935 0.62935 2.2197 6.1988 0.12659
0.4738 -0.44962 0.82691 2.303 4.1166 0.17999
0.21102 3.5872 0.084143 2.3339 1.9716 0.030321
0.55468 3.0441 0.9157 2.4861 5.9546 0.22799
0.71053 -0.36959 0.55694 2.2985 3.114 0.61515
0.65733 -0.67415 0.41407 2.3923 5.3318 0.053157
0.8475 3.1372 0.032613 2.4448 3.1899 0.14301
0.8124 5.8618 0.053279 2.5577 2.5172 0.30378
0.31334 0.85048 0.62881 2.2494 2.4418 0.80624
0.39778 3.7916 0.90852 2.3408 3.7987 0.031544
0.91753 1.9988 0.4432 2.8035 2.3685 0.59507
0.55648 -2.2674 0.60097 2.3963 6.0536 0.4927
0.68365 -0.11106 0.58014 3.3848 5.7524 0.11263
0.66701 3.7412 0.63971 3.212 4.94 0.72423
0.59252 4.578 0.34323 2.5697 5.5728 0.27592
0.46692 -1.1251 0.56015 2.9831 3.1051 0.37673
0.52947 1.1601 0.28995 2.4255 5.0009 0.57334
0.51478 -0.37875 0.99546 2.8751 5.3774 0.61244
0.62895 -3.1725 0.44135 3.0185 5.4613 0.16584
0.41469 -1.096 0.7993 2.4379 5.0597 0.56063
0.87561 -0.02411 0.57465 2.9601 6.1991 0.44101
0.97826 0.5995 0.1053 2.2192 2.6597 0.27818
0.45373 1.8298 0.059406 2.98 5.4485 0.41968
0.36934 4.9609 0.64723 2.2786 3.2567 0.24334
0.77663 0.83407 0.73646 2.4096 2.4595 0.18818
0.28039 1.8215 0.31349 2.6708 5.6522 0.68624
0.1202 -1.5936 0.33852 3.1874 5.9232 0.83667
0.86074 -3.8634 0.81161 3.246 5.7322 0.42392
0.70173 -1.6092 0.12374 2.0844 3.7003 0.56111
0.20517 1.5571 0.74792 3.5097 3.7777 0.035403
0.40815 1.5725 0.32418 2.5174 2.1702 0.64584
0.73511 0.12659 0.17361 3.0063 2.2638 0.51869
0.31716 3.3484 0.7535 2.3377 1.8686 0.2954
0.82525 2.8128 0.32944 3.164 4.1118 0.15001
0.55463 0.43483 0.64502 2.4016 6.0026 0.56501
1.0082 2.8482 0.22965 2.4475 4.9868 0.54698
0.30533 1.4591 0.675 3.0109 2.6016 0.95496
0.52184 -4.5172 0.63389 2.9403 4.9843 0.29188
0.45146 -2.6777 0.11844 2.3316 2.1236 0.83516
0.5986 2.3965 0.08445 3.3311 1.783 0.48189
0.9812 1.8203 0.19575 2.916 3.1604 0.66335
0.6276 4.9772 0.43977 2.1065 2.2275 0.83705
0.42125 0.47874 0.51007 3.1539 4.7073 0.54901
0.26398 -1.5725 0.24316 3.3988 3.0147 0.24625
0.2132 -0.35939 0.67808 2.4439 5.8158 0.46191
-0.013304 -0.84195 0.049807 2.9856 3.3861 0.66617
0.39525 -1.2587 0.78836 3.0396 5.9971 0.72857
0.1062 -1.2959 0.99408 2.3355 1.6067 0.70691
0.87798 -2.1543 0.21871 2.7271 6.0844 0.83497
0.45416 1.4239 0.59817 3.1639 3.2439 0.49355
0.4264 1.8241 0.19656 2.1812 5.8554 0.59688
0.072118 2.9434 0.68805 3.1118 3.4179 0.81655
0.70846 0.14441 0.20195 2.9658 2.2021 0.027113
0.1663 4.1209 0.8196 2.4476 5.0504 0.4633
0.11618 -0.66055 0.80321 2.8076 6.1065 0.4634
1.0968 3.6865 0.54317 2.8958 4.5415 0.89991
0.50286 2.2442 0.73201 2.566 1.8483 0.35762
0.56814 2.2627 0.93016 3.3523 3.4978 0.46626
0.21942 -1.9926 0.37755 3.5889 2.0497 0.29685
0.93502 0.59791 0.33458 3.3264 2.5717 0.29184
0.74799 -0.16554 0.63667 1.9733 3.5527 0.98221
-0.07998 2.3536 0.060551 3.0407 3.3838 0.54798
0.5262 4.6717 0.035221 3.7341 5.6971 0.425
0.68636 1.9789 0.42241 3.02 2.9736 0.45579
0.21014 0.039385 0.4933 3.2142 4.4328 0.35235
0.79657 -0.47693 0.062934 2.113 3.4884 0.054973
0.53622 -0.63216 0.096637 2.49 2.3533 0.62443
0.5349 0.4963 0.79516 2.1723 4.1047 0.16499
0.49176 -0.26292 0.77657 3.3005 4.317 0.57311
0.36053 0.085867 0.99838 2.662 4.6835 0.37863
0.25244 1.2646 0.6581 2.5124 4.9775 0.27749
0.454 -1.268 0.39219 3.0614 5.8826 0.46456
0.52814 2.3178 0.41984 2.2768 3.9488 0.41367
0.06579 0.65801 0.24393 2.3905 4.1417 0.56571
0.69856 3.4437 0.038851 2.5778 2.3498 0.56066
0.56507 3.7151 0.85554 2.7348 4.0591 0.50375
0.15248 1.1369 0.24898 3.1753 4.4766 0.075819
0.29835 0.10945 0.52237 2.9494 3.7259 0.020003
0.86262 -0.070566 0.59465 3.3878 6.1654 0.44586
0.68502 -0.25772 0.63244 1.9647 1.9342 0.34535
0.29563 1.8734 0.58873 2.1204 2.1304 0.79009
0.36373 -0.40348 0.66454 3.1726 4.6104 0.39679
0.37668 -1.7094 0.095464 3.2878 3.3118 0.53895
0.1675 2.5546 0.55508 2.3249 2.7714 0.66482
0.60356 -0.92197 0.7404 2.9301 4.6181 0.16694
0.26462 -0.27954 0.17273 2.6319 2.9536 0.46107
0.45797 0.76015 0.40606 3.5826 1.9263 0.29774
0.54919 0.93036 0.85065 2.6221 2.7569 0.19867
0.55216 0.34603 0.28228 2.3886 1.9978 0.11789
0.31136 0.34774 0.90578 3.1746 3.8292 0.45883
0.93842 -0.59636 0.22662 3.2294 3.2206 0.035147
0.8296 2.0596 0.074973 2.2936 3.5291 0.21353
0.5845 -0.4129 0.11223 2.3272 3.0258 0.4354
0.76567 2.6639 0.19692 3.1986 2.9759 0.30412
0.68878 -3.7278 0.13185 2.3136 2.2964 0.79922
0.10302 3.3111 0.76687 2.4066 5.3025 0.31571
0.1905 -0.45267 0.82886 2.278 5.167 0.72285
0.52916 2.3762 0.26744 3.0642 2.1251 0.60045
0.27082 -5.0165 0.51965 3.077 2.8332 0.54133
0.2605 -3.3929 0.68731 3.0125 4.1722 0.48891
0.54125 -0.33442 0.32181 2.2453 2.7212 0.80597
0.40595 -0.61408 0.82777 2.5643 3.3987 0.47398
0.6998 0.4825 0.21787 3.4244 5.3126 0.61956
0.4024 3.7646 0.61581 3.1456 3.3634 0.20797
0.39502 0.91868 0.054475 2.811 5.607 0.81237
0.37523 3.092 0.067588 2.2722 4.6921 0.58078
0.59081 0.56032 0.035319 2.9465 3.1851 0.1371
0.51625 2.4151 0.85507 3.1862 1.8995 0.51304
0.76338 2.063 0.53018 2.565 4.9578 0.13647
0.6099 2.0235 0.24598 2.7225 4.7693 0.48591
0.46208 5.5406 0.9383 2.0316 4.4007 0.31508
0.75287 6.6384 0.81328 2.1488 2.1604 0.38579
0.49071 0.56216 0.49059 3.0505 2.1874 0.61591
0.75002 4.3514 0.61047 3.204 5.1777 0.39272
0.97368 -1.2811 0.26945 3.0992 4.0328 0.28395
0.3945 -1.1312 0.13547 2.0648 3.2214 0.23903
0.086334 -2.3166 0.65139 3.0296 6.2044 0.28673
0.6129 -0.051404 0.63677 2.192 5.136 0.094498
0.62979 1.9979 0.58786 3.2758 2.9153 0.61262
0.98052 3.0234 0.12959 1.9743 4.2413 0.43931
0.52917 1.7562 0.37752 2.5337 6.2176 0.55457
0.75097 2.5362 0.028255 3.08 4.8881 0.50276
0.267 2.739 0.33631 1.9602 2.3287 0.83944
0.51036 2.1671 0.38071 3.2101 6.141 0.43681
0.28189 1.0931 0.99404 2.3148 4.8946 0.31016
0.26923 0.23665 0.43279 3.1327 4.1747 0.48604
0.61057 5.1595 0.043527 2.4048 4.4333 0.1794
0.26585 0.87923 0.42775 3.2676 1.9892 0.060572
0.81106 2.6558 0.108 2.5334 5.6281 0.21653
0.44429 -2.7818 0.79714 2.2826 5.6584 0.55597
0.51553 -3.757 0.27405 2.5241 3.1676 0.52303
0.38733 2.5777 0.59113 2.7926 5.7652 0.44745
0.64668 -0.83139 0.84162 2.4316 1.8646 0.52178
0.40679 3.1057 0.44112 2.5287 4.2035 0.49071
0.42744 4.2192 0.87078 2.9736 1.8192 0.58058
0.56152 -2.5229 0.61523 2.3351 2.1385 0.76933
0.64949 4.6522 0.54698 2.2785 2.4254 0.97315
0.67552 2.4032 0.32579 2.233 2.0669 0.56502
0.67404 2.3 0.96485 2.5637 3.0629 0.47235
0.39832 0.54615 0.058711 3.4097 2.7896 0.31159
0.4463 0.92464 0.67129 3.1662 5.2765 0.55043
0.10944 -0.051281 0.44079 3.4365 5.9454 0.42868
0.26918 0.44336 0.95388 3.0959 2.1809 0.401
0.32873 2.3022 0.52857 2.307 3.3045 0.40413
0.48972 0.78375 0.36272 3.1157 3.0461 0.5943
0.2918 1.6234 0.96228 3.1293 2.0225 0.39393
1.1524 1.2307 0.3761 2.3214 2.2706 0.091964
0.5295 -0.75527 0.41219 2.5239 3.9178 0.021575
0.61308 1.2414 0.76934 3.2105 4.2386 0.16363
0.4063 -2.3122 0.94503 3.2804 1.6542 0.65626
0.43574 -1.7418 0.76592 2.159 3.8767 0.58564
0.11147 1.4345 0.60099 2.4425 2.2676 0.39884
0.43163 -0.77655 0.74813 2.9341 5.1414 0.9359
0.50719 0.79689 0.047398 3.2629 5.0074 0.60247
0.59282 0.27129 0.62063 2.8688 4.1075 0.47298
0.55627 1.3013 0.064477 2.9827 1.7688 0.028124
0.28654 -2.4371 0.42583 3.3109 1.632 0.5609
0.36314 -1.0877 0.30292 3.3431 2.6839 0.82827
0.84404 0.027042 0.2037 2.7171 4.2756 0.67813
0.85275 3.0772 0.17956 3.0765 5.6431 0.82995
0.81482 3.2561 0.93784 3.0082 3.6353 0.027145
0.25504 1.8253 0.99627 2.9802 3.911 0.8491
0.72864 1.3748 0.4567 2.2592 5.9925 0.42916
0.62267 2.6817 0.81018 2.9923 4.6135 0.41543
0.14146 0.57965 0.36403 2.1608 1.9138 0.883
0.64503 2.7472 0.10647 2.5848 2.1345 0.00665
0.70297 -1.4752 0.30781 2.4774 2.724 0.46157
0.64828 0.75542 0.21005 2.4098 2.7806 0.57796
0.59006 2.7841 0.7524 2.5453 4.4731 0.4544
0.56017 3.1923 0.40929 3.3488 4.1085 0.15365
0.57352 -2.3896 0.51845 2.2951 4.1444 0.5101
0.10893 1.1629 0.89218 2.3949 2.9319 0.48738
0.7246 -2.2387 0.24181 2.2575 3.9909 0.32745
0.27446 1.7571 0.34591 3.1106 4.874 0.89438
1.0345 -1.2061 0.92522 2.6244 3.2324 0.15996
0.93134 0.97362 0.54768 2.8714 6.2707 0.53655
0.70657 2.2773 0.4133 3.3009 2.1312 0.32711
0.62947 3.3757 0.12981 2.4023 3.727 0.55327
0.4909 -0.055775 0.67644 2.4967 2.331 0.11435
0.72888 -3.0381 0.46514 2.4349 4.1004 0.49419
0.41239 1.3419 0.38755 2.5575 6.0442 0.57913
0.077636 4.1064 0.66871 3.2274 3.1211 0.9704
0.12469 -2.4228 0.1094 2.5 1.7203 0.066588
0.68819 4.7842 0.41977 2.5075 2.3328 0.23736
0.35649 -0.43836 0.47521 2.9795 3.9734 0.57367
0.43188 1.0349 0.58445 2.7068 1.6074 0.46062
0.27772 -0.40422 0.77087 3.1665 3.7603 0.61558
0.94135 -1.2271 0.71769 2.6415 3.8256 0.86542
0.27709 0.77007 0.47754 2.3174 2.0115 0.36584
0.05664 2.0273 0.58002 3.1065 5.9141 0.6703
0.4856 3.7941 0.10858 2.7493 2.809 0.43231
0.54746 -1.1484 0.52279 2.4261 5.3369 0.52855
0.38559 0.072043 0.3657 2.2162 2.1324 0.60088
0.38308 -0.76603 0.75384 2.4538 3.3266 0.61703
0.88485 1.1005 0.75713 3.0464 2.5706 0.51249
0.54559 -1.421 0.90386 2.4901 1.7806 0.9317
0.52137 0.46805 0.91667 3.0467 4.5297 0.61918
0.45463 1.6271 0.61382 3.5145 2.2337 0.77583
0.27881 0.55164 0.83418 3.4196 3.7328 0.35929
0.44347 1.2768 0.92797 3.2044 3.7301 0.62496
0.51233 0.33435 0.51592 2.4249 4.4059 0.41926
0.19758 0.44493 0.90583 3.3989 5.7856 0.58061
0.87614 2.2477 0.79074 3.1317 5.873 0.44556
0.62263 0.58083 0.33445 2.2145 5.2531 0.75836
0.24271 -0.76868 0.82685 2.2638 4.2087 0.12569
0.58526 2.9996 0.046868 2.6885 3.6737 0.83714
0.43049 3.3215 0.55817 2.3029 4.4489 0.14539
0.50109 2.4316 0.015859 3.2636 4.1135 0.18701
0.28474 8.2176 0.42488 2.3553 4.1286 0.79255
0.50387 -0.43273 0.81157 3.0962 3.8617 0.47872
0.47438 3.8943 0.82234 2.1072 3.6556 0.40591
0.4008 -1.4527 0.37077 2.584 2.3005 0.45264
0.34248 -0.57869 0.27315 3.4986 2.8511 0.51132
0.15553 2.8142 0.46028 2.6303 2.9437 0.40551
0.24293 1.2793 0.53365 3.1966 2.9359 0.44561
0.29739 1.4523 0.97969 2.5633 5.5226 0.74277
0.72762 3.2956 0.96313 3.1026 5.0662 0.48297
0.66534 0.54202 0.20764 3.0758 3.5677 0.13083
0.57617 0.69515 0.68384 2.6765 3.1858 0.49024
0.17533 -0.18184 0.0004551 3.1178 2.5271 0.02499
0.39118 3.6163 0.90586 2.7718 1.5982 0.15095
0.66842 2.0465 0.82582 3.4013 3.8963 0.43071
0.34548 -1.8958 0.18508 2.5748 2.7347 0.4672
0.78768 1.9184 0.73285 3.2343 3.8741 0.21681
0.53375 1.0791 0.7445 3.4082 4.8266 0.78258
0.23405 1.4981 0.27854 2.0513 5.6422 0.64408
0.39469 1.6292 0.024076 2.2819 5.7814 0.14833
0.17306 0.21578 0.31352 3.0944 2.1108 0.016429
0.79702 4.1139 0.21213 2.8933 2.9891 0.58642
0.79468 -1.2483 0.22394 2.47 2.3209 0.64604
0.2409 0.1817 0.049074 2.5826 2.5466 0.64623
0.7207 0.396 0.91809 2.7485 4.0664 0.5811
0.2493 4.824 0.042818 2.4444 3.2827 0.25503
0.74531 3.5104 0.63577 3.2733 5.4368 0.82594
0.52329 0.43804 0.61637 2.1234 5.4083 0.25743
0.6769 3.8259 0.80061 3.1165 2.642 0.93622
0.37617 3.876 0.48068 2.4645 3.1063 0.29762
0.01071 1.0675 0.80914 3.0749 4.8898 0.82534
0.66404 -0.67215 0.73339 2.0314 3.4023 0.58923
0.5287 1.7262 0.53822 3.0969 3.2696 0.097711
0.57114 -1.8677 0.018325 3.0827 1.9214 0.2077
0.60394 3.3995 0.83554 3.5211 4.1336 0.4153
0.25857 -0.40524 0.54202 2.6021 3.5607 0.67836
0.50454 3.6249 0.74692 2.3471 5.6409 0.30587
0.6639 2.9242 0.17322 3.2436 3.7088 0.092154
0.41516 5.7937 0.070515 2.2431 2.0185 0.64273
-0.11902 1.1845 0.20732 2.674 5.8576 0.86598
0.79769 0.65507 0.070173 2.2703 4.8316 0.10509
0.51514 0.34413 0.38612 2.477 2.4653 0.66057
0.37994 0.64043 0.4332 3.2408 2.3554 0.45064
0.41405 4.4378 0.82848 2.0985 2.1211 0.073786
0.60556 1.4168 0.47683 2.3776 4.0846 0.75595
0.27118 0.70874 0.61309 2.4753 4.4654 0.55617
0.73159 -1.496 0.80301 3.0154 5.8411 0.44909
0.89867 -2.5262 0.19001 2.8085 4.861 0.95236
0.67621 4.1684 0.98022 2.1307 5.0559 0.53076
0.94133 1.0817 0.26388 3.4583 5.1976 0.96523
0.72272 2.6474 0.95645 2.3111 2.5286 0.45146
0.23085 0.29061 0.13933 3.3919 1.9529 0.21532
0.22661 0.59298 0.12626 3.18 2.5274 0.71716
0.76084 2.6539 0.33727 2.966 2.7641 0.018594
0.52779 1.5917 0.36859 2.6193 4.5733 0.28639
0.9176 0.64836 0.45607 2.8253 5.0847 0.2113
0.51664 1.9218 0.81377 2.8488 5.1793 0.70512
0.83448 -0.56661 0.37344 2.3161 2.3366 0.7123
0.71217 1.1192 0.11765 3.0111 2.028 0.5278
0.26515 -0.30139 0.38296 3.3273 6.242 0.24672
0.082567 0.26684 0.045645 3.1546 3.1401 0.87353
0.54078 2.7877 0.28441 3.5104 4.1418 0.21777
0.84224 -1.2414 0.7786 3.141 1.8316 0.48038
0.1549 2.7525 0.82091 3.298 5.4174 0.707
0.42292 -1.9868 0.68291 1.9372 6.1541 0.70331
0.41256 -1.5961 0.16881 3.0676 4.5234 0.37425
0.90263 3.3948 0.9001 2.9207 4.9989 0.79131
0.73002 2.5477 0.85787 2.7351 2.9477 0.95148
0.85775 -1.0948 0.61601 2.9841 4.5822 0.58636
0.43282 -1.2539 0.069746 2.3962 2.9057 0.50929
0.98799 -1.2202 0.070547 3.1935 4.4084 0.91699
0.3468 0.2297 0.20236 3.2923 3.8808 0.56105
0.56818 1.7625 0.080548 2.2488 2.9919 0.30249
0.4685 3.8479 0.051782 2.546 3.3624 0.44932
0.37654 3.1235 0.98833 2.3309 1.6061 0.59893
0.83571 4.7394 0.18407 3.291 5.1566 0.36161
0.52622 1.5062 0.73442 2.2545 4.898 0.80745
0.83675 -1.4003 0.85502 3.019 6.1578 0.79462
0.81727 3.2835 0.4946 2.4237 4.2577 0.52996
0.33111 3.3536 0.87352 2.422 3.4414 0.5021
0.16791 1.7206 0.4547 1.9655 4.4113 0.98592
0.3049 0.76578 0.36519 3.3479 4.6316 0.44204
0.43755 3.3637 0.1402 3.0376 3.758 0.43706
0.46947 0.8177 0.55788 2.5961 4.9155 0.11988
0.50609 1.4844 0.63409 2.0563 5.6421 0.70244
0.088389 -2.4983 0.29323 3.2862 2.4758 0.45255
0.46344 1.846 0.0093004 3.3391 5.4729 0.60871
0.5724 1.2155 0.26792 2.1273 4.9474 0.47599
0.76532 2.9781 0.69313 3.5145 4.5415 0.29082
0.7323 0.13394 0.78489 2.9423 2.8598 0.34645
0.73158 -0.61703 0.80129 3.4623 2.4067 0.92797
0.61951 2.9168 0.81898 3.1069 2.5373 0.77876
0.44015 0.24131 0.69401 2.4372 4.6229 0.48824
0.29217 -0.85193 0.96625 2.5244 3.2716 0.62125
